pH,Temperature,Humidity,Moisture,N,P,K,Semantic_Tag,Days_to_Ready
6.31,34.13,45.85,31.11,51,35,59,"N-deficiency, P-deficiency",40.927
6.82,22.42,84.59,23.35,59,10,51,"K-deficiency, P-deficiency",51.97
5.16,41.54,79.08,20.44,36,17,57,"Healthy, Pest-risk",48.058
6.22,32.94,58.53,18.68,71,27,77,"P-deficiency, Pest-risk",51.646
5.94,23.43,89.71,34.13,26,26,77,"P-deficiency, K-deficiency",44.601
5.62,31.44,60.84,9.5,58,28,22,"Pest-risk, P-deficiency",60.94
7.58,26.44,82.87,12.77,38,36,32,"P-deficiency, P-deficiency",59.224000000000004
5.83,24.66,89.09,19.29,59,19,30,"N-deficiency, Pest-risk",56.078
5.01,34.38,76.86,36.5,28,15,80,"K-deficiency, Healthy",39.09
7.79,19.23,67.17,37.25,44,27,88,"Healthy, P-deficiency",43.665
5.1,35.2,56.62,30.29,30,29,62,"Pest-risk, Healthy",43.468
7.5,40.43,70.82,32.9,46,41,39,"P-deficiency, K-deficiency",35.965
5.59,40.7,71.0,37.24,60,20,84,"N-deficiency, Pest-risk",34.178
7.82,38.72,73.2,24.07,41,39,43,"N-deficiency, P-deficiency",44.524
7.63,19.14,74.81,15.93,65,33,69,"Healthy, Healthy",60.446
5.85,24.6,57.71,11.17,59,42,86,"N-deficiency, K-deficiency",62.56399999999999
6.3,35.68,44.71,16.6,56,7,59,"Pest-risk, N-deficiency",51.779999999999994
6.54,25.97,77.02,37.83,53,34,23,"Pest-risk, K-deficiency",39.17100000000001
7.75,18.04,56.98,24.41,19,37,88,"K-deficiency, Healthy",54.452
5.93,32.13,87.77,23.41,32,38,53,"K-deficiency, K-deficiency",48.847
5.65,21.7,58.03,29.28,68,30,81,"N-deficiency, Healthy",49.926
7.94,23.0,52.09,14.63,61,15,50,"N-deficiency, Pest-risk",60.176
6.8,29.77,39.43,11.93,63,34,68,"K-deficiency, K-deficiency",57.471000000000004
6.73,30.08,47.87,33.51,24,17,80,"P-deficiency, Pest-risk",40.192
7.37,23.94,63.21,19.17,66,38,62,"K-deficiency, N-deficiency",54.934000000000005
5.94,41.49,66.0,11.66,23,24,85,"K-deficiency, N-deficiency",53.547000000000004
5.55,34.14,62.64,12.62,36,27,74,"N-deficiency, Pest-risk",57.234
5.64,27.27,37.27,37.66,48,28,83,"Pest-risk, P-deficiency",40.457
6.74,29.05,48.71,8.48,33,35,68,"P-deficiency, Pest-risk",60.711
6.6,34.9,53.7,33.77,38,10,41,"N-deficiency, P-deficiency",37.834
7.56,36.84,76.48,8.72,37,8,57,"K-deficiency, Healthy",57.224
7.81,29.6,39.0,35.18,20,6,81,"Healthy, N-deficiency",40.176
7.53,37.03,76.71,8.17,26,6,63,"P-deficiency, K-deficiency",57.509
5.21,20.13,89.51,32.7,44,44,21,"K-deficiency, Healthy",48.855
6.28,27.76,81.66,22.82,16,9,27,"K-deficiency, K-deficiency",50.803999999999995
7.41,22.58,79.34,16.24,16,39,54,"Healthy, N-deficiency",58.038000000000004
7.06,25.64,62.36,33.97,44,7,50,"Pest-risk, Healthy",41.624
5.87,29.58,58.1,26.35,32,19,24,"P-deficiency, N-deficiency",47.89
6.29,30.16,60.82,29.58,45,17,42,"Healthy, Healthy",44.176
7.4,20.33,69.96,30.81,37,33,91,"Healthy, Pest-risk",47.48700000000001
5.28,18.94,74.12,12.8,52,19,65,"K-deficiency, N-deficiency",65.23
5.23,41.33,66.95,37.95,38,31,65,"Pest-risk, Pest-risk",34.015
7.82,35.68,64.83,29.77,67,40,73,"Pest-risk, Pest-risk",41.484
7.52,41.89,83.51,18.73,41,43,27,"K-deficiency, N-deficiency",46.611000000000004
5.58,34.39,73.72,30.93,33,13,91,"N-deficiency, P-deficiency",42.400999999999996
6.6,37.18,33.57,32.4,47,35,65,"K-deficiency, Healthy",37.790000000000006
5.18,18.93,63.48,13.96,67,11,78,"P-deficiency, Healthy",64.507
5.2,28.78,26.83,20.13,38,38,20,"Pest-risk, K-deficiency",54.606
6.6,30.66,80.57,18.72,44,19,36,"Pest-risk, P-deficiency",51.994
7.67,35.54,81.95,15.4,74,25,60,"Healthy, Pest-risk",52.75
5.17,32.2,59.86,20.62,52,40,89,"P-deficiency, Pest-risk",52.56399999999999
6.61,31.49,45.22,31.36,35,16,58,"P-deficiency, P-deficiency",41.447
5.2,40.77,55.18,16.42,67,11,35,"N-deficiency, N-deficiency",51.579
6.37,26.74,74.04,21.94,55,6,22,"Healthy, Pest-risk",51.838
7.75,39.4,50.58,36.06,15,9,78,"P-deficiency, K-deficiency",34.452
5.31,32.75,45.63,15.63,36,20,34,"N-deficiency, N-deficiency",56.001
5.09,27.48,56.64,18.75,29,42,47,"P-deficiency, P-deficiency",56.58
6.37,19.39,37.57,29.95,44,30,51,"Pest-risk, Healthy",49.105
6.52,34.78,63.97,34.34,37,27,20,"Healthy, Pest-risk",37.598
7.37,39.4,37.47,36.13,63,12,57,"Pest-risk, Pest-risk",33.636
5.52,21.21,35.05,24.0,56,7,36,"N-deficiency, Pest-risk",54.655
5.33,23.28,65.04,25.12,32,40,90,"Pest-risk, N-deficiency",53.104
7.47,41.02,38.71,10.99,61,31,93,"N-deficiency, Healthy",53.13799999999999
5.72,26.66,77.02,28.08,15,37,33,"Healthy, Pest-risk",48.266000000000005
7.98,41.82,71.04,15.07,35,26,25,"Healthy, K-deficiency",50.49400000000001
7.49,19.32,26.07,19.06,54,28,38,"Healthy, Pest-risk",57.572
6.68,24.2,41.39,21.02,31,23,31,"N-deficiency, P-deficiency",53.224000000000004
5.22,22.77,75.75,17.82,57,29,62,"K-deficiency, Healthy",59.419000000000004
5.49,21.02,25.45,35.77,74,12,61,"K-deficiency, N-deficiency",45.394000000000005
5.28,38.76,51.82,22.39,25,15,39,"N-deficiency, K-deficiency",47.648
6.28,33.88,62.52,22.72,49,44,49,"K-deficiency, P-deficiency",47.824
5.99,41.25,64.95,12.97,58,27,49,"Healthy, Pest-risk",52.519000000000005
6.88,36.54,52.56,12.58,62,39,87,"N-deficiency, N-deficiency",53.406000000000006
7.39,28.84,60.5,20.34,52,12,72,"P-deficiency, Healthy",51.588
7.57,38.03,31.09,37.39,29,39,36,"Healthy, Healthy",33.713
5.48,24.22,40.05,11.55,55,36,47,"N-deficiency, K-deficiency",63.190000000000005
6.69,22.09,47.73,29.71,60,39,34,"N-deficiency, K-deficiency",47.306999999999995
6.18,22.3,57.08,11.53,62,8,26,"P-deficiency, P-deficiency",62.766000000000005
7.48,37.41,40.37,11.59,27,23,92,"Pest-risk, Pest-risk",54.483
7.79,34.05,47.57,25.72,46,39,70,"Pest-risk, N-deficiency",45.479000000000006
5.06,27.9,61.04,35.81,51,29,68,"N-deficiency, P-deficiency",42.782000000000004
6.44,20.5,67.48,28.86,57,34,36,"P-deficiency, Pest-risk",49.282000000000004
6.82,18.02,55.33,8.11,15,5,77,"K-deficiency, Healthy",66.362
6.44,22.81,75.92,25.64,66,11,92,"P-deficiency, Healthy",50.702999999999996
5.4,19.68,53.74,36.36,68,39,36,"N-deficiency, K-deficiency",45.772000000000006
7.16,37.97,41.41,28.11,63,14,72,"Pest-risk, Healthy",40.347
7.34,19.39,57.97,27.97,30,13,88,"P-deficiency, P-deficiency",50.109
7.97,24.32,59.85,9.73,67,6,68,"Pest-risk, K-deficiency",63.495999999999995
7.84,37.6,83.1,25.7,42,14,40,"Pest-risk, P-deficiency",43.82
7.39,20.85,29.5,37.42,24,25,30,"Pest-risk, K-deficiency",41.919
5.14,37.75,74.73,32.46,56,36,68,"K-deficiency, Healthy",40.377
6.44,39.81,25.08,35.28,43,36,92,"K-deficiency, K-deficiency",34.491
7.32,21.38,34.59,16.5,48,6,92,"Pest-risk, P-deficiency",58.25
7.01,29.23,87.76,25.35,68,34,22,"K-deficiency, Pest-risk",46.625
5.96,29.95,37.52,27.82,53,42,24,"P-deficiency, Healthy",46.349
6.91,27.26,50.32,16.4,58,25,26,"N-deficiency, N-deficiency",54.93
5.61,27.58,71.2,29.35,61,27,53,"N-deficiency, Pest-risk",47.01
7.15,25.58,78.26,19.47,45,43,85,"K-deficiency, P-deficiency",53.434
6.91,20.98,90.03,11.19,50,40,77,"N-deficiency, Healthy",62.238
5.01,25.49,70.96,32.49,37,44,81,"K-deficiency, Pest-risk",46.742999999999995
6.56,32.78,84.72,29.43,27,13,94,"K-deficiency, N-deficiency",42.446
5.32,37.61,42.14,17.65,30,27,41,"N-deficiency, K-deficiency",51.935
6.38,18.02,25.65,16.5,23,16,32,"N-deficiency, Healthy",60.53000000000001
6.57,30.81,66.58,13.2,27,44,33,"Pest-risk, P-deficiency",56.394999999999996
7.65,30.4,32.96,36.72,37,10,68,"Healthy, Pest-risk",38.224000000000004
6.43,34.0,40.25,11.32,62,5,31,"K-deficiency, Pest-risk",56.584
5.56,20.72,94.61,9.99,24,26,83,"P-deficiency, N-deficiency",66.028
6.09,21.26,35.71,20.64,61,5,81,"Pest-risk, N-deficiency",56.178
6.53,34.09,60.97,31.71,67,43,75,"N-deficiency, Healthy",40.026999999999994
5.39,21.07,79.71,34.09,66,12,23,"Healthy, K-deficiency",46.913
6.68,32.74,36.33,15.51,70,42,79,"N-deficiency, Pest-risk",53.362
7.61,37.29,49.64,11.25,62,35,86,"K-deficiency, K-deficiency",55.075
5.82,29.84,84.54,28.16,56,30,67,"Healthy, K-deficiency",46.412
5.79,27.03,76.09,8.43,44,41,23,"N-deficiency, Healthy",63.661
7.01,33.35,82.82,30.11,65,5,91,"K-deficiency, P-deficiency",40.757000000000005
6.71,18.37,47.68,36.45,33,6,87,"Healthy, P-deficiency",43.73499999999999
7.07,24.75,51.9,14.13,52,41,70,"N-deficiency, Healthy",57.961
5.17,22.55,92.34,34.02,71,25,79,"Pest-risk, P-deficiency",46.669
5.0,23.1,31.94,29.78,23,8,56,"N-deficiency, Pest-risk",50.126
6.4,40.43,75.34,16.71,50,16,32,"K-deficiency, N-deficiency",49.117000000000004
7.9,28.25,56.99,18.96,17,22,58,"P-deficiency, Pest-risk",54.007000000000005
5.64,37.89,58.11,14.76,29,31,87,"K-deficiency, N-deficiency",53.467
5.83,33.5,54.18,26.65,24,12,31,"Healthy, K-deficiency",45.77
5.35,31.66,82.34,34.7,58,5,58,"K-deficiency, N-deficiency",41.209999999999994
5.14,21.67,51.41,18.37,34,33,94,"K-deficiency, K-deficiency",59.689
6.87,37.65,34.39,36.71,70,30,68,"P-deficiency, Healthy",33.567
7.95,21.43,30.59,15.61,32,23,74,"Healthy, N-deficiency",60.196999999999996
5.03,38.54,27.74,15.35,63,18,81,"K-deficiency, Healthy",53.89
7.83,23.95,63.6,17.63,47,18,68,"Pest-risk, P-deficiency",57.081
7.03,27.41,83.82,32.79,48,22,79,"Pest-risk, P-deficiency",41.623000000000005
6.23,29.8,36.73,16.12,46,31,86,"N-deficiency, K-deficiency",55.244
7.39,37.72,83.39,22.21,21,22,50,"Pest-risk, Pest-risk",45.652
5.8,34.57,68.72,30.18,62,18,23,"Healthy, Pest-risk",42.471000000000004
7.45,31.23,80.6,30.44,74,44,38,"K-deficiency, N-deficiency",42.433
7.39,29.09,71.42,29.28,22,42,78,"P-deficiency, P-deficiency",44.311
6.33,39.21,83.52,20.49,34,9,31,"Healthy, Pest-risk",46.843
5.21,23.39,85.37,23.17,39,20,26,"K-deficiency, P-deficiency",54.849
5.96,23.37,43.96,14.33,71,22,68,"P-deficiency, N-deficiency",60.431
7.73,37.21,70.49,17.68,31,42,76,"N-deficiency, P-deficiency",50.211000000000006
5.92,33.62,57.15,23.23,25,15,70,"N-deficiency, Healthy",48.266000000000005
6.18,35.37,80.85,35.8,37,35,65,"K-deficiency, Pest-risk",36.815000000000005
5.49,26.59,27.7,8.59,20,6,73,"N-deficiency, Pest-risk",64.353
6.79,25.0,92.21,28.3,50,9,22,"Pest-risk, P-deficiency",46.78
6.98,31.57,40.22,10.71,67,16,67,"P-deficiency, Pest-risk",57.187000000000005
5.69,28.98,60.74,17.79,63,20,36,"Pest-risk, K-deficiency",55.397999999999996
7.12,40.36,53.5,32.47,51,19,35,"N-deficiency, Pest-risk",35.584
7.16,39.68,74.43,13.97,16,24,68,"Pest-risk, Healthy",50.804
7.67,25.57,46.22,33.94,58,40,90,"N-deficiency, Pest-risk",42.903000000000006
5.17,33.87,84.38,16.79,65,5,51,"N-deficiency, Pest-risk",54.793000000000006
6.41,35.86,43.89,22.33,25,42,84,"K-deficiency, K-deficiency",46.886
7.56,40.19,39.86,28.33,35,6,52,"Healthy, Healthy",39.861000000000004
6.71,36.62,85.1,23.87,42,43,80,"Pest-risk, K-deficiency",44.674
5.82,20.72,46.7,9.25,57,33,60,"Pest-risk, P-deficiency",66.1
6.33,18.81,85.22,28.22,34,44,45,"P-deficiency, P-deficiency",50.85900000000001
7.07,30.39,35.09,14.02,23,30,79,"Pest-risk, P-deficiency",55.229000000000006
7.73,27.03,26.55,24.28,26,41,77,"Healthy, N-deficiency",50.021
7.36,29.97,69.58,12.17,38,22,82,"Pest-risk, P-deficiency",57.498999999999995
6.08,23.97,53.77,25.94,74,16,75,"N-deficiency, P-deficiency",50.60300000000001
5.4,32.75,67.33,23.0,38,10,44,"N-deficiency, Healthy",49.925
5.65,25.51,71.43,26.31,35,26,71,"N-deficiency, K-deficiency",50.397000000000006
6.02,40.28,63.59,11.5,59,25,25,"P-deficiency, N-deficiency",54.12
7.96,21.15,77.43,20.13,48,10,73,"K-deficiency, N-deficiency",56.741
5.31,19.85,87.09,14.86,59,26,44,"K-deficiency, K-deficiency",63.067
5.38,26.49,70.52,18.98,27,13,62,"P-deficiency, N-deficiency",56.31100000000001
7.97,21.44,67.07,14.71,37,39,62,"N-deficiency, K-deficiency",60.952
7.04,40.6,91.62,35.22,72,17,49,"N-deficiency, Healthy",33.104
7.78,18.3,83.45,8.36,19,40,85,"Pest-risk, Healthy",67.22200000000001
7.25,32.33,92.99,8.28,39,32,58,"N-deficiency, Pest-risk",59.211
5.58,29.22,73.76,30.06,45,40,44,"P-deficiency, N-deficiency",45.682
6.09,27.2,54.91,29.69,74,13,27,"Healthy, K-deficiency",45.968
7.44,25.64,79.57,16.77,72,22,66,"Pest-risk, N-deficiency",56.144000000000005
7.91,24.33,92.12,29.81,31,6,57,"N-deficiency, Pest-risk",47.307
7.59,23.21,65.79,19.64,32,6,62,"P-deficiency, Healthy",55.363
7.76,31.19,67.87,36.15,46,39,29,"Healthy, N-deficiency",38.504999999999995
5.21,20.97,91.23,8.23,28,7,64,"Healthy, N-deficiency",68.011
5.57,29.66,87.39,9.45,43,39,56,"Pest-risk, K-deficiency",61.97
7.05,21.81,64.15,11.38,50,25,81,"Healthy, N-deficiency",61.591
7.89,23.93,46.25,13.85,74,20,68,"N-deficiency, P-deficiency",60.235
7.83,31.14,81.84,18.09,40,19,71,"Pest-risk, N-deficiency",53.117999999999995
6.37,31.41,59.69,23.59,19,35,26,"N-deficiency, Pest-risk",48.183
5.16,23.5,73.94,28.06,73,16,75,"K-deficiency, N-deficiency",50.982000000000006
7.89,32.87,35.84,21.65,43,42,76,"Pest-risk, P-deficiency",49.525000000000006
7.06,41.33,47.95,18.78,24,41,94,"P-deficiency, N-deficiency",45.931
5.64,33.27,70.28,29.3,70,18,54,"Pest-risk, Healthy",44.144999999999996
7.77,36.79,93.39,36.26,21,15,85,"Healthy, N-deficiency",35.637
5.33,31.81,77.67,32.93,48,18,94,"K-deficiency, P-deficiency",42.591
5.25,38.65,53.12,13.22,19,35,73,"Healthy, P-deficiency",55.099000000000004
6.72,27.0,92.56,14.94,65,20,40,"Healthy, Healthy",56.608000000000004
5.26,32.5,72.86,21.52,53,44,41,"N-deficiency, N-deficiency",51.51400000000001
5.4,31.08,29.2,29.58,27,23,64,"Healthy, Pest-risk",45.496
7.97,39.81,49.44,32.48,49,31,41,"Healthy, K-deficiency",37.551
6.43,30.93,34.27,21.31,64,5,20,"Pest-risk, N-deficiency",50.127
6.62,29.54,60.63,33.82,44,22,32,"Healthy, N-deficiency",40.434
6.01,32.96,77.78,31.15,58,11,69,"N-deficiency, N-deficiency",42.08
5.47,18.21,73.54,27.75,56,26,74,"K-deficiency, K-deficiency",53.255
7.39,18.26,57.12,36.05,26,23,88,"Healthy, P-deficiency",44.31
5.51,26.27,42.71,24.49,44,40,48,"Healthy, N-deficiency",51.753
6.47,37.28,90.96,9.95,52,14,85,"N-deficiency, Pest-risk",55.96
7.6,35.71,35.44,37.75,45,25,63,"Pest-risk, P-deficiency",34.644999999999996
6.46,32.28,84.53,31.63,56,25,75,"Healthy, K-deficiency",41.136
6.12,24.59,66.01,18.28,72,27,55,"K-deficiency, N-deficiency",56.341
6.09,24.41,79.81,30.61,62,31,30,"P-deficiency, Pest-risk",46.627
6.65,21.42,30.55,15.36,49,42,49,"Healthy, K-deficiency",59.202
6.78,35.44,33.34,29.78,18,32,60,"Pest-risk, P-deficiency",40.396
5.89,32.07,77.57,24.4,21,11,51,"N-deficiency, K-deficiency",48.165000000000006
5.19,33.75,91.99,11.69,74,31,21,"N-deficiency, N-deficiency",58.893
7.62,31.63,55.23,12.48,35,11,88,"Pest-risk, Healthy",56.941
7.35,21.55,50.45,30.14,71,26,44,"Healthy, K-deficiency",47.313
7.12,25.03,51.47,22.92,20,24,89,"Healthy, P-deficiency",50.889
7.84,40.01,55.27,36.19,49,37,41,"Pest-risk, K-deficiency",34.223
5.69,19.19,53.61,27.97,37,13,20,"P-deficiency, N-deficiency",52.149
7.4,38.99,79.17,14.12,41,33,47,"N-deficiency, Healthy",51.509
7.84,24.67,86.82,33.05,67,10,62,"K-deficiency, N-deficiency",44.405
5.85,31.29,66.07,9.1,74,30,76,"K-deficiency, N-deficiency",60.875
7.28,34.76,86.67,36.1,45,20,45,"N-deficiency, N-deficiency",35.800000000000004
7.31,34.92,73.93,14.94,54,29,49,"Pest-risk, N-deficiency",52.708
5.93,40.35,78.72,29.49,53,7,24,"Healthy, Pest-risk",39.873000000000005
7.72,39.97,59.56,18.83,66,29,51,"Pest-risk, K-deficiency",47.891000000000005
6.29,37.23,66.4,36.63,63,14,71,"K-deficiency, K-deficiency",35.001
5.49,29.11,35.29,8.93,42,7,82,"N-deficiency, Healthy",62.821
5.16,33.07,49.8,19.46,46,6,86,"N-deficiency, K-deficiency",53.077000000000005
5.43,31.18,43.7,34.27,35,7,93,"N-deficiency, Pest-risk",41.634
5.38,18.99,56.72,22.07,70,13,54,"N-deficiency, P-deficiency",57.589000000000006
5.49,27.92,28.35,37.29,48,14,36,"P-deficiency, Pest-risk",40.727999999999994
7.52,25.12,33.2,35.78,19,19,75,"K-deficiency, P-deficiency",41.355999999999995
6.2,23.45,43.28,13.16,20,14,20,"Pest-risk, N-deficiency",60.84700000000001
7.97,39.31,43.18,11.94,56,42,78,"Healthy, Healthy",54.233000000000004
7.32,36.94,38.85,29.39,23,8,34,"Healthy, K-deficiency",40.158
7.72,20.8,52.17,35.55,44,25,27,"Healthy, N-deficiency",44.1
5.33,19.92,82.16,30.19,58,39,89,"Healthy, K-deficiency",50.727999999999994
5.5,19.32,35.09,29.99,69,32,24,"N-deficiency, Pest-risk",50.848
5.3,21.22,36.51,10.13,50,16,24,"P-deficiency, P-deficiency",66.186
6.74,23.33,89.16,24.17,26,11,54,"Healthy, Pest-risk",51.019000000000005
6.83,37.34,93.87,19.26,27,13,48,"K-deficiency, K-deficiency",47.762
5.57,23.4,66.24,22.92,50,36,76,"K-deficiency, P-deficiency",54.324
5.0,25.36,33.67,26.54,56,41,37,"Healthy, Healthy",51.588
5.46,21.36,87.19,25.87,29,12,84,"Healthy, N-deficiency",53.204
6.11,36.45,80.23,9.39,55,20,35,"Pest-risk, N-deficiency",57.543
5.89,24.87,61.67,10.2,40,21,87,"N-deficiency, P-deficiency",63.125
7.06,19.29,38.84,34.83,42,29,58,"P-deficiency, P-deficiency",44.111000000000004
6.05,26.45,59.16,22.83,51,41,73,"Pest-risk, K-deficiency",51.911
7.24,40.63,87.35,21.25,33,7,87,"Pest-risk, Healthy",44.665
6.32,36.89,47.4,33.54,24,22,32,"N-deficiency, Healthy",37.583
6.02,37.57,25.04,33.76,31,13,50,"N-deficiency, Pest-risk",37.667
7.26,28.74,31.7,15.09,35,14,41,"N-deficiency, K-deficiency",55.578
6.06,35.95,61.22,32.38,37,13,30,"Healthy, Healthy",39.501
6.88,26.68,64.21,18.98,68,37,61,"N-deficiency, P-deficiency",53.216
5.52,23.67,54.66,23.0,61,26,63,"Pest-risk, P-deficiency",54.225
7.26,29.46,64.66,13.86,71,12,71,"K-deficiency, Pest-risk",56.202
7.82,31.13,35.74,8.24,58,10,33,"K-deficiency, K-deficiency",60.983000000000004
7.55,39.54,40.78,16.69,68,26,79,"Healthy, N-deficiency",49.478
7.73,28.09,60.98,12.14,71,35,84,"Pest-risk, Healthy",59.203
7.92,29.74,37.75,30.08,43,44,90,"Healthy, P-deficiency",44.406000000000006
6.4,32.26,61.36,20.62,71,11,24,"K-deficiency, Pest-risk",50.074
5.24,27.21,55.18,23.52,23,16,37,"Pest-risk, N-deficiency",52.599000000000004
6.93,26.68,45.96,24.35,68,30,47,"P-deficiency, N-deficiency",48.82
7.7,34.82,86.64,30.06,68,21,90,"Pest-risk, N-deficiency",41.442
6.02,38.93,47.49,32.86,61,25,78,"N-deficiency, P-deficiency",37.707
6.15,22.07,74.8,34.15,41,9,56,"Pest-risk, Pest-risk",44.845
5.79,40.62,87.25,22.89,62,16,52,"K-deficiency, Healthy",45.298
7.39,33.39,46.58,35.84,31,8,67,"Healthy, P-deficiency",36.913
7.4,37.54,67.57,24.43,20,36,35,"P-deficiency, Healthy",43.986000000000004
7.09,31.84,32.5,12.49,68,27,42,"N-deficiency, N-deficiency",55.768
5.13,24.34,60.63,30.31,46,9,56,"Healthy, N-deficiency",48.822
7.3,30.08,55.63,20.41,26,19,36,"N-deficiency, K-deficiency",50.732000000000006
6.58,41.35,35.72,30.46,16,42,69,"Healthy, P-deficiency",37.297
7.13,41.46,70.25,9.26,51,26,74,"P-deficiency, P-deficiency",53.62200000000001
5.29,38.18,56.72,9.67,27,21,25,"K-deficiency, Healthy",58.09400000000001
5.19,25.99,28.02,10.34,27,37,72,"P-deficiency, Healthy",63.852999999999994
5.8,40.13,67.61,35.81,20,11,39,"Pest-risk, P-deficiency",35.187
7.15,19.19,74.84,11.43,56,23,25,"Healthy, N-deficiency",63.06100000000001
7.86,25.79,78.36,19.04,61,10,33,"N-deficiency, Pest-risk",55.093
7.55,22.28,50.26,25.78,19,17,26,"N-deficiency, P-deficiency",50.836000000000006
5.45,41.92,56.46,30.19,72,36,61,"P-deficiency, Pest-risk",39.488
5.02,33.79,51.67,37.08,18,17,20,"K-deficiency, Pest-risk",38.901
7.34,32.87,55.08,15.22,21,14,90,"Pest-risk, Pest-risk",53.569
5.11,27.43,80.25,29.13,70,15,39,"K-deficiency, K-deficiency",48.261
7.14,35.7,58.52,13.05,36,16,60,"Healthy, Pest-risk",53.49
7.39,20.32,55.19,26.44,47,30,61,"Healthy, N-deficiency",50.968
6.49,41.33,59.99,12.57,40,15,59,"P-deficiency, P-deficiency",51.79900000000001
7.48,35.48,63.33,8.16,25,14,47,"N-deficiency, N-deficiency",58.192
7.29,31.15,29.16,11.85,22,27,61,"P-deficiency, K-deficiency",57.025
6.89,22.72,80.26,34.62,68,15,59,"P-deficiency, Pest-risk",42.664
6.37,41.22,41.94,16.35,40,30,26,"Healthy, N-deficiency",49.07
7.54,25.43,86.41,21.4,65,32,23,"Pest-risk, K-deficiency",52.745000000000005
6.31,29.94,52.05,36.84,71,38,36,"P-deficiency, Healthy",38.438
7.06,20.72,26.69,21.5,34,39,94,"Healthy, Healthy",54.059999999999995
6.43,23.06,60.4,13.54,20,40,72,"Healthy, Pest-risk",60.278000000000006
5.9,33.55,80.46,35.94,57,31,88,"Healthy, P-deficiency",38.173
6.08,41.45,86.16,21.47,44,22,87,"P-deficiency, Healthy",45.439
5.09,36.26,35.45,34.82,19,34,67,"Pest-risk, P-deficiency",39.334
5.49,38.76,90.89,33.75,16,7,37,"Pest-risk, P-deficiency",38.14
6.9,39.88,27.49,26.81,59,29,58,"N-deficiency, Healthy",40.312
7.9,22.19,70.9,33.21,60,21,57,"Pest-risk, P-deficiency",45.637
7.03,27.02,62.75,16.71,25,32,63,"K-deficiency, Healthy",54.682
6.16,30.74,43.76,15.96,73,20,27,"Healthy, N-deficiency",55.042
6.51,25.79,65.0,12.19,62,37,73,"K-deficiency, P-deficiency",59.83300000000001
6.1,35.52,63.46,28.47,71,31,85,"N-deficiency, Healthy",42.763999999999996
6.35,37.61,58.97,13.06,67,41,83,"K-deficiency, Pest-risk",53.547
7.58,33.12,61.06,23.99,73,18,36,"K-deficiency, Pest-risk",46.908
5.46,24.04,57.27,23.59,45,33,54,"P-deficiency, K-deficiency",53.688
7.89,18.57,31.13,28.51,72,33,72,"P-deficiency, P-deficiency",51.187
7.12,33.32,94.88,30.89,57,38,90,"Healthy, P-deficiency",40.368
7.05,23.21,64.6,20.33,66,41,58,"K-deficiency, N-deficiency",53.731
7.29,29.11,40.91,34.4,70,21,55,"K-deficiency, N-deficiency",40.005
5.3,38.16,64.09,16.76,24,5,60,"P-deficiency, Pest-risk",52.412
5.46,41.45,29.32,8.98,43,32,91,"Healthy, N-deficiency",56.67099999999999
7.09,27.53,34.66,34.28,36,23,79,"K-deficiency, P-deficiency",40.491
7.24,24.19,82.98,14.58,45,36,94,"Pest-risk, Healthy",58.221000000000004
